Unnamed: 0,ID_VIV,ID_HOG,ID_PER,UPM,VIV_SEL,HOGAR,RESUL_H,R_SEL,SEXO,EDAD,AREAM,ENT,NOM_ENT,CVE_MUN,NOM_MUN,AP6_1_1,AP6_1_2,AP6_2,AP6_3,AP6_4_01,AP6_5_01,AP6_6_01,AP6_4_02,AP6_5_02,AP6_6_02,AP6_4_03,AP6_6_03,AP6_4_04,AP6_6_04,AP6_7,AP6_8,AP6_9,AP6_10_1,AP6_10_2,AP6_11_1,AP6_12_1,AP6_13_1_1,AP6_13_1_2,AP6_13_1_3,AP6_13_1_4,AP6_11_2,AP6_12_2,AP6_13_2_1,AP6_13_2_2,AP6_13_2_3,AP6_13_2_4,AP6_11_3,AP6_12_3,AP6_13_3_1,AP6_13_3_2,AP6_13_3_3,AP6_13_3_4,AP6_11_4,AP6_12_4,AP6_13_4_1,AP6_13_4_2,AP6_13_4_3,AP6_13_4_4,AP6_11_5,AP6_12_5,AP6_13_5_1,AP6_13_5_2,AP6_13_5_3,AP6_13_5_4,AP6_11_6,AP6_12_6,AP6_13_6_1,AP6_13_6_2,AP6_13_6_3,AP6_13_6_4,AP6_11_7,AP6_12_7,AP6_13_7_1,AP6_13_7_2,AP6_13_7_3,AP6_13_7_4,AP6_14,AP6_15_1,AP6_15_2,AP6_16_1,AP6_17_1,AP6_18_1,AP6_16_2,AP6_17_2,AP6_18_2,AP6_16_3,AP6_17_3,AP6_18_3,AP6_16_4,AP6_17_4,AP6_18_4,AP6_16_5,AP6_17_5,AP6_18_5,AP6_16_6,AP6_17_6,AP6_18_6,AP6_16_7,AP6_17_7,AP6_18_7,AP6_19,AP6_20_1,AP6_20_2,AP6_21_1,AP6_22_1,AP6_21_2,AP6_22_2,AP6_21_3,AP6_22_3,AP6_21_4,AP6_22_4,AP6_21_5,AP6_22_5,AP6_21_6,AP6_22_6,AP6_21_7,AP6_22_7,AP7_1,AP7_2,AP7_3_05,AP7_4_05,AP7_3_06,AP7_4_06,AP7_3_07,AP7_4_07,AP7_3_08,AP7_4_08,AP7_3_09,AP7_4_09,AP7_3_10,AP7_4_10,AP7_3_11,AP7_4_11,AP7_3_12,AP7_4_12,AP7_3_13,AP7_4_13,AP7_3_14,AP7_4_14,AP7_3_15,AP7_4_15,FAC_HOG,FAC_ELE,FAC_HOG_AM,FAC_ELE_AM,DOMINIO,ESTRATO,EST_DIS,UPM_DIS,ANIO_ESTADISTICO
31590,1701608.05,1701608.05.01,1701608.05.01.01,1701608,5,1,B,1,1,24,29.0,17,Morelos,11,Jiutepec,2,,2,2,2,,,2,,,2,,2,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,241,482,241.0,482.0,U,2,302,7379,2021
31591,1702858.05,1702858.05.01,1702858.05.01.02,1702858,5,1,B,2,2,25,29.0,17,Morelos,11,Jiutepec,1,1.0,2,2,2,,,2,,,2,,2,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,243,487,243.0,487.0,U,2,308,7503,2021
31592,1701482.04,1701482.04.01,1701482.04.01.01,1701482,4,1,B,1,1,35,29.0,17,Morelos,11,Jiutepec,1,1.0,2,2,2,,,2,,,2,,2,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,191,383,191.0,383.0,U,3,303,7366,2021
31593,1760279.2,1760279.20.01,1760279.20.01.02,1760279,20,1,A,2,2,41,,17,Morelos,11,Jiutepec,1,1.0,1,1,2,,,2,,,2,,2,,1,2.0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,1,2,2,,2,,2,,2,,1,1.0,2,,2,,2,,2,,2,,2,,397,794,,,R,2,320,7558,2021
31594,1701399.05,1701399.05.01,1701399.05.01.04,1701399,5,1,B,4,1,64,29.0,17,Morelos,11,Jiutepec,2,,1,2,2,,,2,,,2,,2,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,215,859,215.0,859.0,U,2,302,7348,2021
31595,1701460.02,1701460.02.01,1701460.02.01.02,1701460,2,1,B,2,2,47,29.0,17,Morelos,11,Jiutepec,2,,1,2,2,,,2,,,2,,2,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,202,405,202.0,405.0,U,3,303,7360,2021
31596,1701426.03,1701426.03.01,1701426.03.01.01,1701426,3,1,A,1,1,60,29.0,17,Morelos,11,Jiutepec,1,2.0,2,2,2,,,2,,,2,,2,,1,2.0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,2,2,2,,2,,2,,2,,1,1.0,2,,2,,2,,2,,2,,2,,189,755,189.0,755.0,U,2,302,7354,2021
31597,1701561.04,1701561.04.01,1701561.04.01.01,1701561,4,1,B,1,2,69,29.0,17,Morelos,11,Jiutepec,2,,1,2,2,,,2,,,2,,2,,1,2.0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,1,2,2,,2,,2,,2,,9,,2,,2,,2,,2,,2,,2,,188,188,188.0,188.0,U,3,303,7376,2021
31598,1701710.05,1701710.05.01,1701710.05.01.02,1701710,5,1,B,2,1,40,29.0,17,Morelos,11,Jiutepec,2,,1,1,2,,,2,,,2,,2,,1,2.0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,333,1000,333.0,1000.0,U,4,304,7393,2021
31599,1701534.04,1701534.04.01,1701534.04.01.03,1701534,4,1,A,3,1,35,29.0,17,Morelos,11,Jiutepec,1,1.0,1,1,2,,,2,,,2,,2,,1,2.0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,1,1.0,2,,2,,2,,2,,2,,2,,245,735,245.0,735.0,U,3,303,7371,2021
